character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,level_difficulty,visibility,entity_density,entity_aggression,resource_density,maze_complexity,geometry_stability,special_rule,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,survived_24h,survival_time_hours,escape_probability
1,33,female,170,90,6,5,5,4,6,7,5,6,6,7,48,48,48,36,67,59,63,61,0,0,0,0,1,4,1,1,0,0,1,5,33,16,74,57,43,44,9,haunted_hotel,49,29,45,3,0,2,0.2911
2,39,female,166,39,2,3,4,4,5,4,4,4,6,9,62,93,59,80,55,52,46,43,1,80,0,0,0,0,1,2,0,0,0,6,58,17,47,51,39,31,58,darkness,49,40,24,13,0,0,0.1983
3,25,female,158,77,3,3,4,3,2,1,2,4,5,5,35,42,30,35,60,51,53,42,0,0,0,1,1,3,1,3,1,1,1,4,43,59,42,25,64,39,48,liminal_office,39,44,18,19,1,24,0.5614
4,76,male,188,58,5,5,6,6,3,4,4,7,8,3,36,70,57,58,71,62,57,69,0,0,1,0,0,0,0,0,0,0,0,8,45,19,38,43,40,28,10,cave_isolation,42,46,33,15,0,5,0.191
5,73,male,155,56,5,4,3,4,5,5,4,4,5,10,81,84,59,72,52,51,48,41,1,82,1,1,1,4,1,7,1,2,0,5,65,32,79,81,41,47,32,haunted_hotel,76,15,51,19,1,71,0.3857
6,15,female,164,88,4,5,7,6,4,5,5,6,7,3,18,79,81,73,62,64,57,57,0,0,0,0,0,0,0,0,0,0,0,3,60,25,9,21,7,45,2,mechanical_noise,15,47,11,6,0,2,0.1494
7,41,female,174,50,3,4,6,4,3,5,4,6,5,1,84,65,54,47,38,40,38,58,0,0,0,1,0,0,0,0,0,0,0,0,68,56,92,85,45,43,19,neutral,82,13,47,2,0,0,0.1033
8,76,male,189,72,1,3,1,2,6,5,4,1,6,4,61,72,55,42,35,54,31,24,1,52,0,0,1,1,0,0,0,0,0,2,21,12,46,52,57,34,6,neutral,37,25,24,10,1,32,0.4374
9,48,female,187,76,5,5,4,5,5,5,5,4,4,5,64,75,59,68,39,43,46,37,1,100,0,1,1,3,0,0,0,0,1,8,66,36,60,57,19,64,56,cave_isolation,53,23,34,3,1,45,0.3088
10,12,male,205,67,3,5,7,4,4,4,3,7,8,4,38,79,77,51,77,60,60,54,1,46,0,0,0,0,0,0,1,8,1,8,65,26,40,41,26,18,35,cave_isolation,64,38,18,19,1,70,0.2034
11,15,male,150,68,3,4,5,3,4,5,4,5,6,5,58,84,79,60,55,59,52,40,0,0,0,0,0,0,0,0,1,7,1,6,45,3,60,61,33,36,58,darkness,61,38,35,24,1,75,0.1092
12,69,female,163,89,2,5,5,2,5,5,3,4,7,2,44,85,76,64,76,70,51,58,1,86,1,0,0,0,0,0,0,0,0,7,59,53,29,39,5,67,23,flooding,30,17,13,11,0,3,0.1689
13,33,female,181,76,2,5,5,5,6,7,7,6,5,1,38,69,67,73,69,66,46,53,0,0,0,0,0,0,1,2,0,0,0,8,43,24,47,34,13,57,45,cave_isolation,34,34,32,7,0,8,0.2191
14,29,male,149,64,6,4,5,4,3,6,5,4,4,7,69,48,33,58,44,24,45,42,1,47,0,1,0,0,0,0,1,3,0,7,36,24,29,35,46,50,18,flooding,25,34,32,2,0,8,0.2912
15,49,female,163,87,2,5,4,3,8,7,5,5,8,2,19,53,26,36,63,76,59,51,0,0,0,0,0,0,1,9,0,0,1,4,15,29,12,10,60,17,11,liminal_office,8,57,3,16,1,46,0.6751
16,61,female,159,36,7,4,6,4,5,5,6,5,5,6,65,61,51,55,48,41,47,48,1,60,0,1,1,1,0,0,1,9,0,2,35,26,63,45,30,30,5,neutral,46,25,25,17,0,5,0.5929
17,72,female,170,66,6,5,6,6,5,7,8,5,3,3,51,93,83,75,22,36,42,50,1,95,0,1,0,0,1,2,0,0,0,7,85,24,49,61,28,68,12,flooding,56,46,24,23,0,1,0.1993
18,36,male,162,93,2,4,4,4,5,4,4,4,3,2,61,58,61,50,33,45,43,35,0,0,0,0,1,3,0,0,1,3,0,5,9,79,74,77,45,15,6,haunted_hotel,46,5,34,19,0,4,0.1348
19,79,male,165,102,3,3,3,4,6,6,4,5,7,7,29,38,37,15,73,68,44,39,1,85,0,0,0,0,0,0,1,5,1,4,22,36,22,16,72,23,51,liminal_office,31,32,5,8,1,107,0.6598
